AmbiguousWord,Meaning1,Meaning2,Meaning3,Meaning4,Meaning5,Meaning6,Meaning7,Meaning8,
Cap,type of hat,limit/restriction - stipulation/act of applying,"a protective lid or cover for an object such as a bottle, the point of a pen, or a camera lens",a contraceptive diaphragm,"Name, e.g. Andy Cap",,,,
Cape,"piece of land jutting into the sea, used in place names e.g., ""Capetown""",short cloak,,,,,,,
Card,piece of stiff paper used in playing games,piece of stiff paper sent as a greeting,"a small rectuangular piece of plastic or stiff paper with personal information, including debit/credit card and membership card",heavy-duty paper-based product that is thicker and more durable/rigid than paper,,,,,
Case,container for something,legal or police matter,"an example/instance, as in ""case study"" ",staircase - set of stairs and its surrounding walls or structure,bookcase - an open cabinet containing shelves on which to keep books,nutcase - a crazy or deranged person,,,
Cast/Caste,"the actors taking part in a play, film, or other production","to/a mould, a plaster or paris hardened bandage","cast iron - a hard, relatively brittle alloy of iron and carbon",any class or group of people who inherit exclusive privileges or are perceived as socially distinct,"action of throwing or setting something free, includes when fishing, and to ""cast a spell""",,,,
Caught/Court,"a body of people presided over by a judge, judges, or magistrate, and acting as a tribunal in civil and criminal cases","a quadrangular area, either open or covered, marked out for ball games such as tennis or squash","court shoe - a woman's plain, lightweight shoe that has a low-cut upper, no fastening, and typically a medium heel","past tense of ""catch"", to intercept and hold (something which has been thrown, propelled, or dropped), including ""caught a cold""","be involved with (someone) romantically, with the intention of marrying",residence/retinue of a monarch,,,
Cell/Sell,give or hand over (something) in exchange for money,the smallest structural and functional unit of an organism,a small room in which a prisoner is locked up or in which a monk or nun sleeps,battery unit,cell phone - American term for a mobile phone,location within a spreadsheet,,,
Cellar/Seller,person who sells,underground room,salt cellar - an article of tableware for holding and dispensing salt,,,,,,
Change,alteration,money,,,,,,,
Charge,store energy,demand (an amount) as a price for a service rendered or goods supplied,"formally accuse (someone) of something, especially an offence under law.","rush forward, including ""charge ahead"" and as part of an attack (e.g., charge of the light brigade)",,,,,
Charm,attractive manner,small item of jewellery,lucky charm - amulet/small object with magical powers,,,,,,
Cheek,"part of the body/face, inlcuding ""ass cheek"" ",rudeness,,,,,,,
Chest,part of torso,"box, includes ""chest freezer""",chestnut - a glossy hard brown edible nut,,,,,,
China,proper name - country,porcelain,,,,,,,
Chip,computer component,fried potato,small piece of something,gambling token,chip on shoulder - holding a grudge or grievance that readily provokes disputation,chipmunk,type of shot in golf,,
Chord/Cord,"thin, flexible string, rope, or cable, often made from several twisted strands, including electrical cable and anatomy with a similar structure (spinal, umbilical)","a group of (typically three or more) notes sounded together, as a basis of harmony",corduroy - a thick cotton fabric with velvety ribs,,,,,,
Claus/Clause/Claws,sharp curved process at the end of a creature's limb - body part/action of using,part of sentence or document,Santa Claus,,,,,,
Clip,"device that grips or holds things together, e.g., hair clip, paperclip, money clip, ammunition clip ","extract of movie, audio or text",to trim or cut out,sharp slanting blow,sound of a hoof striking the ground,,,,
Club,"an association/place dedicated to a particular interest or activity, e.g., sports club, nightclub","a long thin object used to strke something, e.g., golf club",one of the four suits in a conventional pack of playing cards,"club sandwich - a sandwich consisting typically of chicken and bacon, tomato, lettuce, and dressing,",type of chocolate covered biscuit,,,,
Coach,vehicle,sports trainer,class of airline travel,"a vehicle with individually built bodywork, ""coach-built""",,,,,
Coat/Cote,warm outer garment,thin layer of liquid/particulate matter,coat of arms,"place or type of wine, e.g., ""cote du rhone""",,,,,
Cold,"opposite of hot, including the metaphorical sense, e.g. ""cold hearted""",minor illness,,,,,,,
Company,the fact or condition of being with another or others,a commercial business,military unit,proper name Vincent Kompany,,,,,
Compound,building enclosure,substance produced by combining chemical elements,combined/added together from component parts,,,,,,
Corn,cereal crop or maize,area of thickened skin on the foot ,sentimentality/banality,,,,,,
Crack,a/to split on the surface,sudden explosive sound,form of cocaine,to find a solution/decipher,,,,,
Craft/Kraft,specilised skill/art/trade,vessel for water/air travel,Kraft - American manufacturing and processing conglomerate,,,,,,
Crane,machine for lifting in suspension,type of bird,stretch up to get a better view,,,,,,
Creak/Creek,make a scraping/squeaking sound when being moved,"a narrow, sheltered waterway",name of TV show Dawson's Creek,"Name, e.,g. ""Jonathan Creek""","the phrase ""up shit creek""",,,,
Cricket,type of sport,type of insect,phrase 'not cricket',"name, e.g. ""Jiminy Cricket""",,,,,
Cross,"any object, figure, or mark resembling a cross, as two intersecting lines, or the action of moving to the other side or to ""cross out""",annoyed,double-cross - deceive/betray,,,,,,
Cue/Kew/Q/Queue,signal to an actor/performer ,"an item of sporting equipment, used for example in pool and snooker ",a line/sequence of people/vehicles waiting their turn,"place near London, e.g., ""Kew Gardens""","Letter ""Q"", including character in StarTrek",,,,
Cup,vessel for hot drinks,"trophy, or sporting competition",,,,,,,
Currant/Current,a small dried fruit,water/air moving in a particular direction,"related to the present time, including ""current account""",a flow of electricity which results from the ordered directional movement of electrically charged particles,,,,,
Cycle,(to ride) a bicycle,a recurrent series of events/states,,,,,,,
Cymbal/Symbol,a musical instrument consisting of concave round brass plate,something that represents or stands for something else,,,,,,,
Date,"a sweet, dark brown oval fruit ",a social/romantic appointment/engagement,specific day of the month or year ,,,,,,
Dec/Deck,flooring/open platform,pack of cards,folding chair made of wood and canvas,"Name, often short for Declan",player of CDs or vinyl records,"the flat part of a skateboard, on which the rider stands",to hit someone very hard,"decorate/adorn, e.g., ""deck the halls""",
Deed,action,legal document,,,,,,,
Digit,"any of the numerals from 0 to 9, especially when forming part of a number","a finger, thumb, or toe",,,,,,,
Doc/Dock,"short for 'doctor', including ""Doc Martens""",an enclosed area of water in a port for  loading/unloading of ships,remove part of/reduce,prisoner's area in court ,a type of weed ,"short for ""document""",device to charge/connect phone or other electronic device,,
Drill,tool for making holes ,repetitive training exercise ,,,,,,,
Drum,large cylindrical container,percussion instrument,drumline,,,,,,
Earth,ground/soil,planet,,,,,,,
Fan,ventilation device,admirer/follower,,,,,,,
Fate/Fete,destiny,festive celebration,,,,,,,
Fence,barrier enclosing an area of ground,sword sport,fence-sitter - a person who remains neutral/undecided in a controversy,selling/seller of stolen goods,,,,,
Figure,body shape,numerical symbol/amount,figure skating - the sport of skating,"object/movement having the shape of the number, e.g. ""figure of eight""",figure of speech - word/phrase used in a non-literal sense,figure out - to be able to understand something or to solve a problem,a graphic/diagram included within a document,,
File,"a tool with rough surface used for smoothing/shaping, including ""nail file""","a folder or box for holding  documents together (electronic or physical).  Including ""file for bancrupcy/divorce"", ""file a complaint""",rank and file - the ordinary members of an organisation.,,,,,,
Film,movie,thin layer of something,undeveloped photos or celluloid strip for taking photos,,,,,,
Fir/Fur,animal hair,type of tree/wood,,,,,,,
Fire,combustion or burning,terminate employment,,,,,,,
Firm,"solid, stable or unlikely to change",a company/business,,,,,,,
Flair/Flare,"bright light that attracts attention, includes 'solar flare""","a sudden outburst of something, especially violence or hostility. Includes 'flare up'","talent or skill, originality of style, flamboyance",clothing shape in which diameter expands towards the hemline, a tag added to posts on reddit,,,,
Flaw/Floor,defect,lower surface of a room,,,,,,,
Flew/Flu,viral illness,was airborne,,,,,,,
Flour/Flower,part of a plant,finely ground grain,,,,,,,
Foil,thin metal sheet,prevent from succeeding,fencing (sport) equipment,,,,,,
Foul/Fowl,"offensive, off-putting or unfair, e.g. an unsporting act, an unpleasant odor",poultry,,,,,,,
Free,without cost or payment,"able to act as one wishes; not under  control, eg. ""free run/running"", ""free field""",not occupied or in use,,,,,,
Gait/Gate,opening in a fence,way of walking ,,,,,,,
Gear,machine/engine part,equipment/clothing for specific purpose,drugs,,,,,,
Genes/Jeans,casual trousers usually made of denim,a unit of heredity ,,,,,,,
Glare,angry stare,bright light interfering with vision,,,,,,,
Glass,drinking vessel ,"transparent material, including ""looking glass""",,,,,,,
Glasses,lenses to correct eyesight,glass vessels for drinks,,,,,,,
Grace,Elegance,Prayer said before meal,"Divinely given favour/talent, e.g. Amazing Grace",Girl's name,,,,,
Grain,cereal crop,directional pattern in wood,tiny piece of a substance,proper name - place,,,,,
Habit,routine/customary/involuntary/addictive act/behaviour,clothes worn by monks or nuns,,,,,,,
Hair/Hare,fine filaments that grow from skin,rabbit-like animal,an American rock musical,harelip,,,,,
Hand,"body part, including ""helping hand"" and ""first hand""",indicator on clock,unit of measurement for horses,to pass an object,"""upper hand""",,,,
Hard,"solid, firm, rigid",difficult,,,,,,,
Head,"chief; principal, e.g., ""head teacher""",the upper part of the body,go in a specific direction,side of a coin,brand of tennis equipment,the foam on the top of beer,,,
Hi/High,of great height/size/status,euphoric effect of drugs/alcohol,"Greeting, similar to ""hello""",,,,,,
Horn,musical instrument or loud warning device,outgrowth on an animal's head,"related to sexual attraction meaning of ""horny""",,,,,,
Idle/Idol,person/thing that is greatly admired,lazy or without purpose,,,,,,,
Interest,enthusiasm/attention/curiosity/enjoyment for something - state/action or resulting object/target/pastime,fee paid for borrowing/saving money,,,,,,,
Iron,smoothing device,type of metal,Iron Man - a fictional superhero,iron hand or fist - firm/ruthless attitude/behaviour,,,,,
Jam/Jamb,fruit preserve,obstruction/tight spot,vertical side of a doorway,informal session of music-making,,,,,
Joint,"the place at which two things, or separate parts are joined. E.g., ankle/knee ",drugs rolled to smoke,"shared, held, or made by two or more people together",large piece of meat ready for cooking,,,,,
Key/Quay,device that operates a lock,a button or lever depressed by the finger for playing an instrument/operating a computer/typewriter/telephone,of crucial importance,tonal framework of a musical note,harbour,key lime,,,
Kid,child ,young goat,name of musician Kid Rock,,,,,,
Knight/Night,opposite of day,"medieval soldier,  chess piece or person with a knighthood",,,,,,,
Lace,net-like ornamental fabric,cord for fastening shoes,"add an ingredient, especially alcohol, to a drink or dish",,,,,,
Landing,returning to the ground from the air/water,platform between flights of stairs,,,,,,,
Leaf,page of a book - object/action of turning,part of a plant/tree,,,,,,,
Leak/Leek,escape of something contained ,green vegetable,proper name - a town,,,,,,
Letter,"communication, item of mail",alphabetic character,,,,,,,
Lie,be in or assume a horizontal or resting position ,an intentionally false statement,,,,,,,
Light,of little weight; not heavy,the natural agent that stimulates sight and makes things visible,,,,,,,
Litter,group of animal babies born at the same time,rubbish,,,,,,,
Lobby,entrance hall,"group of political campaigners, to campaign",,,,,,,
Loch/Lock,device for securing something,enclosed chamber in a canal,Scottish word for lake,,,,,,
Log,an official record of events ,"a part of the trunk or a large branch of a tree, including chocolate log",logarithm,slang word for faeces,"used in phrase ""log in""",,,,
Mail/Male,"letters and parcels sent by post, including email",opposite of female,name of a newspaper,,,,,,
Marble,small hard ball ,type of stone ,,,,,,,
March,month,parade/walk in a steady rhythm,,,,,,,
Mark,visible trace/damage on a surface/indicator point,grade,common male given name,"""on your marks"" idiom - said at the start of a race",,,,,
Match,fire-lighter,sports game,correspond to/pairing of two things,,,,,,
Mine,belonging to me,excavation to extract natrual resources/source of valuable commodity - place/act of using,explosive device ,,,,,,
Miner/Minor,underage individual,someone who works in a mine,not important/serious/significant,type of musical mood/key,,,,,
Mint,coin-making factory,type of herb - plant/flavour/foodstuffs containing/confectionaery flavoured with,,,,,,,
Miss,notice the loss or absence of,"fail to hit, reach, or come into contact with (something aimed at)","a title prefixed to the name of an unmarried woman or girl, or to that of a married woman retaining her maiden name for professional purposes",,,,,,
Model,someone who poses ,"a copy or representation, often small-scale",design/style/type of something,"role model, model citizen - example to be emulated",simplified explantory description of a complex system/entity,name of song by Kraftwerk,,,
Mole,A freckle/blemish on the skin,a small burrowing mammal,spy,molecular weight of a substance,"name, e.g., ""Adrian Mole""",,,,
Moose/Mousse,hair-styling product,type of animal,type of food,,,,,,
Mould,fungus,make a malleable substance into a specific shape - action/equipment used,,,,,,,
Mouse,small rodent,computer pointing device,,,,,,,
Muscles/Mussels,body part,type of seafood,,,,,,,
Nail,sharp metal fastener sually hit with a hammer,plate on end of finger or toe,"to complete a task successfully, or get something right",,,,,,
Note,brief written communication or paper money ,musical tone,observe carefully,Model of mobile phone,Model of Nissan car,,,,
Nugget,bite-size piece of food,lump of metal,,,,,,,
Nut/Nutt,"edible kernel, including peanut, nutmeg",fastener for a bolt,a mad or crazy person,testicle,"name, e.g., ""David Nutt""",,,,
Odd,"different to what is usual or expected; strange; separated from its pair (e.g., odd socks)","type of number, opposite of even",,,,,,,
Organ,body part,musical instrument,,,,,,,
Pack,bag or item of luggage and object/act of filling,group of people or animals,packaged quantity of items,,,,,,
Pain/Pane,a single sheet of glass ,highly unpleasant physical sensation ,,,,,,,
Pair/Pear,"type of fruit, shape of this fruit","group of two things, including ""pair of jeans""; combine together",,,,,,,
Palm,inner side of hand,type of tree,Palm Sunday - the Sunday before Easter,,,,,,
Panel,group of people,thin section of solid material,,,,,,,
Park,public recreational area,to position a car,,,,,,,
Party,a social gathering of invited guests,political group,,,,,,,
Passage,"corridor, including ""back passage""",section of text,journey over time/distance/from one state to another,,,,,,
Peace/Piece,"freedom from disturbance; tranquillity, without war","a portion of an object or of material, produced by cutting, tearing, or breaking the whole",,,,,,,
Peak/Peek,quick look,summit/maximum level - physical/figurative,,,,,,,
Peal/Peel,fruit skin,ringing of bells,,,,,,,
Pen,writing instrument,animal enclosure,penknife - a small knife with a blade which folds into the handle,,,,,,
Pipe,"hollow tube, including ""to pipe icing""",smoking implement,pipe dream - an unattainable or fanciful hope or scheme,musical instrument,"""pipe down""",,,,
Pitch,highness or lowness of a tone,pitch-black - completely dark,an area of ground marked out or used for a  game,"a swaying or oscillation of a ship, aircraft, or vehicle",a form of words used when trying to persuade someone to buy/accept something,pitchfork - a farm tool with a long handle and two sharp metal prongs,throw roughly or casually,,
Plant,botanical organism/action of inserting into soil,factory,secretly/deliberately place an object in order to incriminate someone ,,,,,,
Play,dramatic performance ,recreational activity/game,operate/run through an audio/video recording,,,,,,
Plot,"the main events of a play, novel, film, or similar work",a small piece of ground marked out for a purpose such as building or gardening,"a graph showing the relation between two variables (a diagram, chart, or map)",a plan/conspiracy made in secret ,lose the plot (informal phrase) - lose one's ability to understand or cope with what is happening,,,,
Plug,connects appliance to electricity,"a piece of solid material fitting tightly into a hole and blocking it up, to block a hole",,,,,,,
Poker,"a metal rod with a handle, used for prodding and stirring an open fire",a card game,,,,,,,
Pole/Poll,a survey or the process of voting in an election,locations at the northern and southern ends of the earth's axis of rotation.,a West Slavic ethnic group native to Poland,pole position - a leading or dominant position,"a long, slender, rounded piece of wood or metal, including ""pole dance""","polecat: a weasel-like Eurasian mammal with mainly dark brown fur and a darker mask across the eyes, noted for its fetid smell",deed poll: formal/legal name change,"""poll tax""",
Post,a position of paid employment; a job,"the service/system that delivers letters and parcels, or the letters and parcels delivered","a long, sturdy piece of timber or metal set upright in the ground",afterwards,to announce on social media,,,,
Pride,sense of self-worth/dignity/self-satisfaction/state of being proud,group of lions,,,,,,,
Principal/Principle,"the first or most important thing, senior person in an organization or group (e.g, a head teacher)",a fundamental truth or proposition ,,,,,,,
Profit/Prophet,person regarded as an inspired teacher or proclaimer of the will of God,"financial gain, to make a financial gain",,,,,,,
Program/Programme,computer code sequence,media production,schedule of activities,,,,,,
Punch,hit with a fist,type of fruit-based drink,proper name - comic puppet character,punchline - final phrase/sentence of a joke/story providing a crucial element,Punch magazine - a British weekly magazine of humour and satire,,,,
Pupil,part of the eye,student,,,,,,,
Race,"speed contest, to move quickly",common ethnic origin,,,,,,,
Racket/Racquet,stringed bat used in sports,noisy disturbance,extortion racket - an organised illegal activity,,,,,,
Rain/Reign,monarch's rule,wet weather/precipitation,,,,,,,
Rare,lightly cooked,not occurring very often,,,,,,,
Real/Reel,"actually exising, not imitation",cylinder on which material can be wound,Scottish/Irish dance,,,,,,
Ring/Wring,"a circular shape or object, e.g., piece of jewellery. To encircle","telephone call, noise made by phone or doorbell","sport/event arena, e.g. boxing ring, circus ring",,,,,,
Role/Roll,a small loaf of bread,move in a particular direction by turning over and over on an axis,"the part/function assumed by a person/object. Eg. ""role playing"", ""role model""","roll of paper, e.g. toilet, paper, kitchen",rolling pin,,,,
Root/Route,underground part of plant,way taken on a journey,embedded/anchoring portion of a body part - teeth/hair/nerve,origin/derivation,mathematical term ,,,,
Ruler,a person exercising government or power,a rigid strip used to measure distances,,,,,,,
Sage,an aromatic plant,profoundly wise,proper name - software program,,,,,,
Sail/Sale,boating equipment,discounted prices,transfer of ownership,,,,,,
Sauce/Source,a liquid or semi-liquid substance served with food ,"a place, person, or thing from which something originates or can be obtained",kinkiness,,,,,,
Saw/Soar/Sore,"injury, diseased area on the skin, dull pain, painful",observed,sharp toothed cutting tool,fly high,proper name - horror movie series ,,,,
Scale,"an instrument for weighing/measuring, range of values for measurement , the relative size of something, or the ratio of size in a model, map, drawing, or plan",the horny or bony plates on skin of fish and reptiles,an ordered arrangement of the musical notes ,climb up or over (something high and steep),,,,,
Scoop,exclusive news story,ladle/spoon-like implement; portion/action of using this action,,,,,,,
Sea/See,expanse of water,perceive with eyes,,,,,,,
Seal,a fish-eating aquatic mammal,"a device or substance that is used to join two things together, also used in ""seal of approval""",proper name - singer,,,,,,
Sentence,the punishment assigned to a defendant found guilty," a group of words, usually containing a verb",,,,,,,
Sew/So/Sow,"join, fasten, or repair by making stitches with a needle and thread or a sewing machine (sew)",plant (seed) by scattering it on or in the earth (sow),"adverb meaning the same manner or extent, extremely (so)",conjunction meaning with the result that,,,,,
Shell,"hard protective outer case (e.g. of an animal - mollusc, crustacean), including pasta shells, ammunition shells, and objects without inner parts, includes metaphorical sense (coming out of one's shell)",an Anglo-Dutch multinational oil and gas company,give out,,,,,,
Sign/Sine,"a gesture/action/symbol used to convey information or an instruction, inculding ""sign language"" and astrological/zodiac symbols",to write one's name,a trigonometric function,,,,,,
Sink,"to become submerged, including the metaphorical sense (e.g., sink into depression)",water basin,,,,,,,
Skip,to move with a hop/bounce/jump,used to hold rubbish,omit part/stage in sequence,type of crisp,,,,,
Son/Sun,The star around which the earth orbits,a male child,day of the week Sunday,,,,,,
Spade/Spayed,digging implement,card suit,past tense of 'spay',,,,,,
Speaker,"person talking, including ""speaker of the house""",device for playing sound,,,,,,,
Spring,"season, including in phrases such as ""spring chicken""",elastic coil - object/action of/action resembling,place where water/oil wells up from an underground source,spring onion - an onion taken from the ground before the bulb has formed,,,,,
Staff,workers employed,tall strong stick ,a set of five parallel lines used in musical notation,,,,,,
Stake/Steak,"a slice of meat or fish, especially beef","a sum of money or something of value to be gambled, share in a business",a strong wooden or metal post,"to claim ownership, e.g. ""stake a claim""",,,,,
Stalk/Stork,type of bird,follow secretly/obsessively,"plant stem, including ""beanstalk""","a brand of spread, similar to butter",,,,,
Star,"a fixed luminous point in the night sky which is a large, remote incandescent body like the sun",celebrity/famous person,geometric shape with multiple points,,,,,,
State,condition,government/organised society,say/declare,,,,,,
Step/Steppe,"part of a staircase/doorway, including ""step ladder""","an movement of the leg in walking, running, or dancing",step relatives - family formed on the remarriage of a divorced/widowed person,steppe - an ecoregion,stage of progress towards a goal,,,,
Stick,thin piece of wood,"to adhere or cling to something, for example with glue",,,,,,,
Stitch,portion of thread sewn through material - object/action,cramping pain in the side with exercise,fictional character and main protagonist in Lilo and Stitch franchise,,,,,,
Stock,farm animals; livestock,the capital through the issue of shares,an adjustable wooden structure with holes for securing a person's feet and hands used as punishment,"the goods kept by a buisiness for sale or distribution, to replenish these goods","liquid made by cooking bones, meat, fish, or vegetables slowly in water",,,,
Storey/Story,level of a building,narrative,,,,,,,
Strain,"a severe or excessive demand on, including when results in injury, e.g. ""strained muscle""","a particular breed, stock, or variety of an animal, plant or illness",pour through a device or material in order to separate out any solid matter,,,,,,
Straw,thin tube for sucking up liquid,dry stalks of cereal plants,strawberry - a sweet soft red fruit,straw man - a common form of argument,the last/final straw (phrase) - a further difficulty or annoyance,straw poll - unofficial vote,,,
Strike,aim/deliver an attack/blow/stroke/offensive manoeuvre (literal or figurative),official work stoppage - act/action,,,,,,,
Suit,a set of outer clothes made of the same fabric and designed to be worn together,"be convenient for or acceptable to, to ehance the features of ",name of a TV programme,,,,,,
Suite/Sweet,piece of confectionery,set of connecting rooms,agreeable/pleasant/endearing,,,,,,
Table,display of data/information,piece of furniture,,,,,,,
Tail/Tale,hindmost part of an animal/object/group,story,reverse side of a coin,,,,,,
Tap,a device by which a flow of liquid/gas can be controlled,tap dance - a dance in which the rhythm or rhythmical variation is audibly tapped out with the toe or heel,to strike with a quick light blow or blows,,,,,,
Tea/Tee,hot drink,peg to support a golf ball/start of a hole in golf,,,,,,,
Temple,place of worship,side of the forehead,"Place, including Temple tube station, templemeads and templecombe",,,,,,
Thai/Tie,"to attache/fasten with string or similar, including the item of clothing worn around the neck and the metaphodical sense","relating to Thailand, its people, or their language",a draw or dead-heat,,,,,,
Thyme/Time, aromatic plant,"relating to periods of time, occasions, durations, or the past/present/future",,,,,,,
Tic/Tick,clock sound,type of insect,mark of approval,Mint brand tic tac,,,,,
Tip,a sum of money given  as a reward for a service,the pointed or rounded end or extremity of something slender or tapering,a place where rubbish is left,a small but useful piece of practical advice,"overbalance so as to fall or turn over, to pour","""tip-toe""",,,
Toast,grilled bread,speech before drinking,,,,,,,
Top,item of clothing,spinning toy,uppermost part/position,cover/lid,,,,,
Trailer,an unpowered vehicle that can be towed,short promotional film,,,,,,,
Train,form of transport,to teach/coach,,,,,,,
Trunk,elephant's nose,large storage case,the boot/storage compartment of a car,the main woody stem of a tree,"part of the body, torso","item of clothing, e.g. ""swimming trunks""",,,
Volume,single book/one book in a series,"capacity/amount of space occupied by an object/substance, including ""volume of work""",loudness of sound,,,,,,
Wail/Whale,large marine mammal,long cry of anguish/pain,,,,,,,
Waist/Waste,"the (narrow) part of the human body below the ribs and above the hips, including ""waist coat""","use or expend carelessly/extravagantly, rubbish, including ""waste away""",,,,,,,
Wait/Weight,the heaviness of a person or thing,stay where one is or delay action ,,,,,,,
Wake,the track of waves left by a boat (or other object) moving through the water,a watch/vigil/party held after a person's death,stop sleeping,,,,,,
Watch,device for keeping time,"observe, look at, e.g. ""watch TV""",,,,,,,
Wave,disturbance in a body of water (or other fluid/gas),moving one's hand as a greeting,"term used in physics, including wavelength, sound wave",,,,,,
Weak/Week,having little strength or energy,a period of seven days,,,,,,,
Whine/Wine,alcoholic drink,complaining sound,,,,,,,
Yoke/Yolk,frame/harness/collar for draft animal,yellow part of an egg,shaped piece in a garment from which the rest of the grarment hangs,,,,,,
