Word,stimulus,string,same,version_with_order,ambiguity_type,log_rt,correct_response
band,It was a gold band.<p>,band,False,M2_a_M1_a,Homonymy,7.11646851,1.0
band,It was a gold band.<p>,band,False,M2_b_M1_a,Homonymy,7.060010572714285,0.8571428571428571
band,It was a gold band.<p>,band,True,M1_b_M1_a,Homonymy,6.893441432714285,0.7142857142857143
band,It was a jazz band.<p>,band,False,M1_a_M2_a,Homonymy,6.57631305,1.0
band,It was a jazz band.<p>,band,False,M1_b_M2_a,Homonymy,6.853228280733333,1.0
band,It was a jazz band.<p>,band,True,M2_b_M2_a,Homonymy,6.679734750166666,1.0
band,It was a rubber band.<p>,band,False,M2_a_M1_b,Homonymy,6.7118356015,0.75
band,It was a rubber band.<p>,band,False,M2_b_M1_b,Homonymy,6.845006396285714,1.0
band,It was a rubber band.<p>,band,True,M1_a_M1_b,Homonymy,6.739993676222222,1.0
bank,He banked the cash.<p>,banked,False,M1_a_M2_b,Homonymy,6.9786010392857145,0.8571428571428571
bank,He banked the cash.<p>,banked,False,M1_b_M2_b,Homonymy,7.1751575625,0.6
bank,He banked the cash.<p>,banked,True,M2_a_M2_b,Homonymy,7.102605677,1.0
bank,He banked the helicopter.<p>,banked,False,M2_a_M1_b,Homonymy,7.1952541672857135,0.0
bank,He banked the helicopter.<p>,banked,False,M2_b_M1_b,Homonymy,7.093466116625,0.125
bank,He banked the helicopter.<p>,banked,True,M1_a_M1_b,Homonymy,6.7800581235,0.0
bank,He banked the money.<p>,banked,False,M1_a_M2_a,Homonymy,6.986909968272728,0.8181818181818182
bank,He banked the money.<p>,banked,False,M1_b_M2_a,Homonymy,6.919138348857143,0.8571428571428571
bank,He banked the money.<p>,banked,True,M2_b_M2_a,Homonymy,6.908497580142857,0.7142857142857143
bank,He banked the plane.<p>,banked,False,M2_a_M1_a,Homonymy,7.050614462,0.4
bank,He banked the plane.<p>,banked,False,M2_b_M1_a,Homonymy,7.188041286,0.14285714285714285
bank,He banked the plane.<p>,banked,True,M1_b_M1_a,Homonymy,7.076387004,0.0
barrier,There was a concrete barrier.<p>,barrier,False,M2_a_M1_b,Polysemy,7.046812402166666,0.8333333333333334
barrier,There was a concrete barrier.<p>,barrier,False,M2_b_M1_b,Polysemy,7.020460328333333,0.6666666666666666
barrier,There was a concrete barrier.<p>,barrier,True,M1_a_M1_b,Polysemy,6.935033197714286,0.8571428571428571
barrier,There was a language barrier.<p>,barrier,False,M1_a_M2_a,Polysemy,6.868948599,1.0
barrier,There was a language barrier.<p>,barrier,False,M1_b_M2_a,Polysemy,6.964994756375,1.0
barrier,There was a language barrier.<p>,barrier,True,M2_b_M2_a,Polysemy,6.5710849069,1.0
barrier,There was a police barrier.<p>,barrier,False,M2_a_M1_a,Polysemy,7.0376019055,1.0
barrier,There was a police barrier.<p>,barrier,False,M2_b_M1_a,Polysemy,6.977195966000001,1.0
barrier,There was a police barrier.<p>,barrier,True,M1_b_M1_a,Polysemy,6.73261778075,0.875
barrier,There was a religious barrier.<p>,barrier,False,M1_a_M2_b,Polysemy,7.162711869888889,0.7777777777777778
barrier,There was a religious barrier.<p>,barrier,False,M1_b_M2_b,Polysemy,7.1205379389090915,0.5454545454545454
barrier,There was a religious barrier.<p>,barrier,True,M2_a_M2_b,Polysemy,7.061291114,0.875
bat,He saw a baseball bat.<p>,bat,False,M1_a_M2_b,Homonymy,6.935991055833333,1.0
bat,He saw a baseball bat.<p>,bat,False,M1_b_M2_b,Homonymy,7.041653405,1.0
bat,He saw a baseball bat.<p>,bat,True,M2_a_M2_b,Homonymy,6.765754126,1.0
bat,He saw a fruit bat.<p>,bat,False,M2_a_M1_b,Homonymy,7.048895471384616,0.7692307692307693
bat,He saw a fruit bat.<p>,bat,False,M2_b_M1_b,Homonymy,7.1187819613,0.4
bat,He saw a fruit bat.<p>,bat,True,M1_a_M1_b,Homonymy,7.004699841333333,0.6666666666666666
bat,He saw a furry bat.<p>,bat,False,M2_a_M1_a,Homonymy,6.944633189799999,0.5
bat,He saw a furry bat.<p>,bat,False,M2_b_M1_a,Homonymy,7.1672611713,0.7
bat,He saw a furry bat.<p>,bat,True,M1_b_M1_a,Homonymy,6.935932882142858,1.0
bat,He saw a wooden bat.<p>,bat,False,M1_a_M2_a,Homonymy,6.9602688046,1.0
bat,He saw a wooden bat.<p>,bat,False,M1_b_M2_a,Homonymy,7.340637224142857,0.7142857142857143
bat,He saw a wooden bat.<p>,bat,True,M2_b_M2_a,Homonymy,7.20147694775,1.0
beam,He saw the balance beam.<p>,beam,False,M1_a_M2_b,Polysemy,7.033939038461539,0.7692307692307693
beam,He saw the balance beam.<p>,beam,False,M1_b_M2_b,Polysemy,7.234187270923077,0.6923076923076923
beam,He saw the balance beam.<p>,beam,True,M2_a_M2_b,Polysemy,6.996895310833334,1.0
beam,He saw the bright beam.<p>,beam,False,M2_a_M1_b,Polysemy,7.011232559363637,0.9090909090909091
beam,He saw the bright beam.<p>,beam,False,M2_b_M1_b,Polysemy,7.068692650200001,1.0
beam,He saw the bright beam.<p>,beam,True,M1_a_M1_b,Polysemy,6.976161466799999,1.0
beam,He saw the laser beam.<p>,beam,False,M2_a_M1_a,Polysemy,6.890908559857143,0.8571428571428571
beam,He saw the laser beam.<p>,beam,False,M2_b_M1_a,Polysemy,6.826192201333334,1.0
beam,He saw the laser beam.<p>,beam,True,M1_b_M1_a,Polysemy,6.861084055,1.0
beam,He saw the wood beam.<p>,beam,False,M1_a_M2_a,Polysemy,6.952753910625,1.0
beam,He saw the wood beam.<p>,beam,False,M1_b_M2_a,Polysemy,7.184488426111112,0.7777777777777778
beam,He saw the wood beam.<p>,beam,True,M2_b_M2_a,Polysemy,7.04156714775,1.0
block,She had a mental block.<p>,block,False,M1_a_M2_a,Polysemy,6.901976877333333,1.0
block,She had a mental block.<p>,block,False,M1_b_M2_a,Polysemy,6.95317038,0.8
block,She had a mental block.<p>,block,True,M2_b_M2_a,Polysemy,6.894918137888889,1.0
block,She had a toy block.<p>,block,False,M2_a_M1_a,Polysemy,6.937853949166667,0.8333333333333334
block,She had a toy block.<p>,block,False,M2_b_M1_a,Polysemy,7.359442659111112,0.7777777777777778
block,She had a toy block.<p>,block,True,M1_b_M1_a,Polysemy,6.9917997132,1.0
block,She had a wooden block.<p>,block,False,M2_a_M1_b,Polysemy,6.8598681345,1.0
block,She had a wooden block.<p>,block,False,M2_b_M1_b,Polysemy,7.18637687,0.5
block,She had a wooden block.<p>,block,True,M1_a_M1_b,Polysemy,6.984357733,1.0
block,She had a writer's block.<p>,block,False,M1_a_M2_b,Polysemy,7.021164719090908,0.9090909090909091
block,She had a writer's block.<p>,block,False,M1_b_M2_b,Polysemy,6.692605569571429,1.0
block,She had a writer's block.<p>,block,True,M2_a_M2_b,Polysemy,6.569846180000001,1.0
blood,He has coagulated blood.<p>,blood,False,M2_a_M1_a,Polysemy,6.9802602545,0.375
blood,He has coagulated blood.<p>,blood,False,M2_b_M1_a,Polysemy,7.51703018375,0.75
blood,He has coagulated blood.<p>,blood,True,M1_b_M1_a,Polysemy,7.0791951035,0.75
blood,He has noble blood.<p>,blood,False,M1_a_M2_a,Polysemy,7.051382730285715,0.5714285714285714
blood,He has noble blood.<p>,blood,False,M1_b_M2_a,Polysemy,7.168868352454546,0.5454545454545454
blood,He has noble blood.<p>,blood,True,M2_b_M2_a,Polysemy,6.554338374333334,1.0
blood,He has royal blood.<p>,blood,False,M1_a_M2_b,Polysemy,6.994134277399999,0.8
blood,He has royal blood.<p>,blood,False,M1_b_M2_b,Polysemy,6.725886006,0.8333333333333334
blood,He has royal blood.<p>,blood,True,M2_a_M2_b,Polysemy,6.768713928625,1.0
blood,He has thin blood.<p>,blood,False,M2_a_M1_b,Polysemy,6.958151881416666,0.9166666666666666
blood,He has thin blood.<p>,blood,False,M2_b_M1_b,Polysemy,6.9113149236249996,0.5
blood,He has thin blood.<p>,blood,True,M1_a_M1_b,Polysemy,7.0598027906,0.9
board,It was the executive board.<p>,board,False,M1_a_M2_a,Polysemy,7.147018897714285,1.0
board,It was the executive board.<p>,board,False,M1_b_M2_a,Polysemy,6.8476772668,0.8
board,It was the executive board.<p>,board,True,M2_b_M2_a,Polysemy,6.793449552,1.0
board,It was the ironing board.<p>,board,False,M2_a_M1_a,Polysemy,6.923194026142857,0.7142857142857143
board,It was the ironing board.<p>,board,False,M2_b_M1_a,Polysemy,6.882669446,1.0
board,It was the ironing board.<p>,board,True,M1_b_M1_a,Polysemy,6.918868664375,1.0
board,It was the school board.<p>,board,False,M1_a_M2_b,Polysemy,7.076138767833334,1.0
board,It was the school board.<p>,board,False,M1_b_M2_b,Polysemy,6.961485943,1.0
board,It was the school board.<p>,board,True,M2_a_M2_b,Polysemy,6.931109406875,1.0
board,It was the wooden board.<p>,board,False,M2_a_M1_b,Polysemy,7.0251035707,0.7
board,It was the wooden board.<p>,board,False,M2_b_M1_b,Polysemy,7.005667632571429,1.0
board,It was the wooden board.<p>,board,True,M1_a_M1_b,Polysemy,6.7188646586,1.0
book,He had a best-selling book.<p>,book,False,M2_a_M1_a,Polysemy,7.0089484155,1.0
book,He had a best-selling book.<p>,book,False,M2_b_M1_a,Polysemy,7.023869274,1.0
book,He had a best-selling book.<p>,book,True,M1_b_M1_a,Polysemy,6.984573347454545,1.0
book,He had a heavy book.<p>,book,False,M1_a_M2_a,Polysemy,6.825786826222222,1.0
book,He had a heavy book.<p>,book,False,M1_b_M2_a,Polysemy,6.63987305176923,1.0
book,He had a heavy book.<p>,book,True,M2_b_M2_a,Polysemy,6.90639155475,1.0
book,He had a leather-bound book.<p>,book,False,M1_a_M2_b,Polysemy,7.161139563692307,0.8461538461538461
book,He had a leather-bound book.<p>,book,False,M1_b_M2_b,Polysemy,7.019644661125,0.875
book,He had a leather-bound book.<p>,book,True,M2_a_M2_b,Polysemy,7.169550832333333,1.0
book,He had a popular book.<p>,book,False,M2_a_M1_b,Polysemy,6.807444573777778,0.8888888888888888
book,He had a popular book.<p>,book,False,M2_b_M1_b,Polysemy,6.90613503325,1.0
book,He had a popular book.<p>,book,True,M1_a_M1_b,Polysemy,6.828053516461538,1.0
break,He broke the dish.<p>,broke,False,M2_a_M1_b,Polysemy,6.878652028249999,1.0
break,He broke the dish.<p>,broke,False,M2_b_M1_b,Polysemy,6.937564266857143,1.0
break,He broke the dish.<p>,broke,True,M1_a_M1_b,Polysemy,6.788464972333333,1.0
break,He broke the glass.<p>,broke,False,M2_a_M1_a,Polysemy,6.6554726079375,1.0
break,He broke the glass.<p>,broke,False,M2_b_M1_a,Polysemy,6.7558766530000005,1.0
break,He broke the glass.<p>,broke,True,M1_b_M1_a,Polysemy,6.9525115736666665,1.0
break,He broke the law.<p>,broke,False,M1_a_M2_a,Polysemy,6.797290787,1.0
break,He broke the law.<p>,broke,False,M1_b_M2_a,Polysemy,6.625628654799999,1.0
break,He broke the law.<p>,broke,True,M2_b_M2_a,Polysemy,6.890780796,1.0
break,He broke the promise.<p>,broke,False,M1_a_M2_b,Polysemy,6.743907052875,1.0
break,He broke the promise.<p>,broke,False,M1_b_M2_b,Polysemy,6.523398071600001,1.0
break,He broke the promise.<p>,broke,True,M2_a_M2_b,Polysemy,6.7313951995,1.0
breakfast,They ate a family breakfast.<p>,breakfast,False,M1_a_M2_a,Polysemy,6.948041088111111,0.8888888888888888
breakfast,They ate a family breakfast.<p>,breakfast,False,M1_b_M2_a,Polysemy,7.006803297599999,0.8
breakfast,They ate a family breakfast.<p>,breakfast,True,M2_b_M2_a,Polysemy,6.622423156,1.0
breakfast,They ate a lonely breakfast.<p>,breakfast,False,M1_a_M2_b,Polysemy,7.354996391818182,0.7272727272727273
breakfast,They ate a lonely breakfast.<p>,breakfast,False,M1_b_M2_b,Polysemy,7.273640429285714,0.7142857142857143
breakfast,They ate a lonely breakfast.<p>,breakfast,True,M2_a_M2_b,Polysemy,7.242012718,0.625
breakfast,They ate a nutritious breakfast.<p>,breakfast,False,M2_a_M1_b,Polysemy,6.80295677325,0.875
breakfast,They ate a nutritious breakfast.<p>,breakfast,False,M2_b_M1_b,Polysemy,6.781314785,1.0
breakfast,They ate a nutritious breakfast.<p>,breakfast,True,M1_a_M1_b,Polysemy,6.8200057755,1.0
breakfast,They ate a pancake breakfast.<p>,breakfast,False,M2_a_M1_a,Polysemy,6.939591589545454,0.8181818181818182
breakfast,They ate a pancake breakfast.<p>,breakfast,False,M2_b_M1_a,Polysemy,6.883083679888888,0.6666666666666666
breakfast,They ate a pancake breakfast.<p>,breakfast,True,M1_b_M1_a,Polysemy,7.154688998727273,0.45454545454545453
call,They called the debt.<p>,called,False,M1_a_M2_b,Polysemy,7.128757709,0.25
call,They called the debt.<p>,called,False,M1_b_M2_b,Polysemy,6.903977803166666,0.16666666666666666
call,They called the debt.<p>,called,True,M2_a_M2_b,Polysemy,7.051950297,0.5
call,They called the landlord.<p>,called,False,M2_a_M1_a,Polysemy,6.915577326375,1.0
call,They called the landlord.<p>,called,False,M2_b_M1_a,Polysemy,6.9491077644,1.0
call,They called the landlord.<p>,called,True,M1_b_M1_a,Polysemy,6.884000348333333,1.0
call,They called the loan.<p>,called,False,M1_a_M2_a,Polysemy,7.0398688972,0.4
call,They called the loan.<p>,called,False,M1_b_M2_a,Polysemy,7.137015283,0.16666666666666666
call,They called the loan.<p>,called,True,M2_b_M2_a,Polysemy,6.87840203925,0.5
call,They called the police.<p>,called,False,M2_a_M1_b,Polysemy,6.8305579881,1.0
call,They called the police.<p>,called,False,M2_b_M1_b,Polysemy,6.9019547088749995,1.0
call,They called the police.<p>,called,True,M1_a_M1_b,Polysemy,6.738110897555555,1.0
cape,It was a flowing cape.<p>,cape,False,M2_a_M1_b,Homonymy,7.0174060448,0.9
cape,It was a flowing cape.<p>,cape,False,M2_b_M1_b,Homonymy,7.147384152933333,0.6666666666666666
cape,It was a flowing cape.<p>,cape,True,M1_a_M1_b,Homonymy,6.834627191,0.0
cape,It was a red cape.<p>,cape,False,M2_a_M1_a,Homonymy,6.7575287610000006,0.9090909090909091
cape,It was a red cape.<p>,cape,False,M2_b_M1_a,Homonymy,6.8241967019,0.9
cape,It was a red cape.<p>,cape,True,M1_b_M1_a,Homonymy,7.099171902222222,1.0
cape,It was a rocky cape.<p>,cape,False,M1_a_M2_a,Homonymy,7.146830950111111,0.3333333333333333
cape,It was a rocky cape.<p>,cape,False,M1_b_M2_a,Homonymy,7.012368523818182,0.36363636363636365
cape,It was a rocky cape.<p>,cape,True,M2_b_M2_a,Homonymy,7.30852498975,0.25
cape,It was an island cape.<p>,cape,False,M1_a_M2_b,Homonymy,6.8416596363333335,0.0
cape,It was an island cape.<p>,cape,False,M1_b_M2_b,Homonymy,7.079058441166667,0.3333333333333333
cape,It was an island cape.<p>,cape,True,M2_a_M2_b,Homonymy,7.449615863999999,0.3333333333333333
cast,She cast a glow.<p>,cast,False,M2_a_M1_b,Polysemy,7.072027619428572,0.7142857142857143
cast,She cast a glow.<p>,cast,False,M2_b_M1_b,Polysemy,6.5678346020000005,0.8
cast,She cast a glow.<p>,cast,True,M1_a_M1_b,Polysemy,7.070086356142857,0.5
cast,She cast a shadow.<p>,cast,False,M2_a_M1_a,Polysemy,6.7516367731999996,1.0
cast,She cast a shadow.<p>,cast,False,M2_b_M1_a,Polysemy,6.818211693583333,1.0
cast,She cast a shadow.<p>,cast,True,M1_b_M1_a,Polysemy,6.8836966533999995,1.0
cast,She cast a spear.<p>,cast,False,M1_a_M2_a,Polysemy,7.017995703714286,0.7142857142857143
cast,She cast a spear.<p>,cast,False,M1_b_M2_a,Polysemy,7.163281213125,0.625
cast,She cast a spear.<p>,cast,True,M2_b_M2_a,Polysemy,7.395478223666667,0.3333333333333333
cast,She cast a stone.<p>,cast,False,M1_a_M2_b,Polysemy,7.163468759200001,1.0
cast,She cast a stone.<p>,cast,False,M1_b_M2_b,Polysemy,7.1207589252500005,0.25
cast,She cast a stone.<p>,cast,True,M2_a_M2_b,Polysemy,6.9532586912,0.6
cause,It was a main cause.<p>,cause,False,M1_a_M2_a,Polysemy,7.31238031725,0.75
cause,It was a main cause.<p>,cause,False,M1_b_M2_a,Polysemy,6.861199709,1.0
cause,It was a main cause.<p>,cause,True,M2_b_M2_a,Polysemy,6.682546105833333,1.0
cause,It was a political cause.<p>,cause,False,M2_a_M1_b,Polysemy,6.982923580909091,1.0
cause,It was a political cause.<p>,cause,False,M2_b_M1_b,Polysemy,6.877830781199999,1.0
cause,It was a political cause.<p>,cause,True,M1_a_M1_b,Polysemy,6.889467566142857,1.0
cause,It was a primary cause.<p>,cause,False,M1_a_M2_b,Polysemy,6.8295573781000005,0.9
cause,It was a primary cause.<p>,cause,False,M1_b_M2_b,Polysemy,6.949155673666667,1.0
cause,It was a primary cause.<p>,cause,True,M2_a_M2_b,Polysemy,6.847526808833333,1.0
cause,It was a worthy cause.<p>,cause,False,M2_a_M1_a,Polysemy,6.888556254666667,1.0
cause,It was a worthy cause.<p>,cause,False,M2_b_M1_a,Polysemy,6.967319268111111,0.8888888888888888
cause,It was a worthy cause.<p>,cause,True,M1_b_M1_a,Polysemy,6.680333750571428,1.0
cell,It was a brain cell.<p>,cell,False,M2_a_M1_b,Polysemy,6.744505428833333,1.0
cell,It was a brain cell.<p>,cell,False,M2_b_M1_b,Polysemy,6.769783076333333,1.0
cell,It was a brain cell.<p>,cell,True,M1_a_M1_b,Polysemy,6.502932574,1.0
cell,It was a jail cell.<p>,cell,False,M1_a_M2_b,Polysemy,7.141245122,1.0
cell,It was a jail cell.<p>,cell,False,M1_b_M2_b,Polysemy,6.8056062593333335,0.9333333333333333
cell,It was a jail cell.<p>,cell,True,M2_a_M2_b,Polysemy,6.849205851857143,1.0
cell,It was a prison cell.<p>,cell,False,M1_a_M2_a,Polysemy,6.83314098425,1.0
cell,It was a prison cell.<p>,cell,False,M1_b_M2_a,Polysemy,6.880833326888888,0.8888888888888888
cell,It was a prison cell.<p>,cell,True,M2_b_M2_a,Polysemy,6.64614310409091,1.0
cell,It was a skin cell.<p>,cell,False,M2_a_M1_a,Polysemy,6.938348584428572,1.0
cell,It was a skin cell.<p>,cell,False,M2_b_M1_a,Polysemy,6.795275150399999,1.0
cell,It was a skin cell.<p>,cell,True,M1_b_M1_a,Polysemy,6.884713262833333,1.0
charm,She had a devilish charm.<p>,charm,False,M2_a_M1_a,Polysemy,6.841486939153847,0.8461538461538461
charm,She had a devilish charm.<p>,charm,False,M2_b_M1_a,Polysemy,7.13893787925,0.75
charm,She had a devilish charm.<p>,charm,True,M1_b_M1_a,Polysemy,6.976694199571428,0.8571428571428571
charm,She had a gold charm.<p>,charm,False,M1_a_M2_a,Polysemy,7.163382045,1.0
charm,She had a gold charm.<p>,charm,False,M1_b_M2_a,Polysemy,7.032477764999999,0.6666666666666666
charm,She had a gold charm.<p>,charm,True,M2_b_M2_a,Polysemy,6.974994889066666,0.9333333333333333
charm,She had a good-luck charm.<p>,charm,False,M1_a_M2_b,Polysemy,6.8994534356666675,1.0
charm,She had a good-luck charm.<p>,charm,False,M1_b_M2_b,Polysemy,6.872744328916667,0.8333333333333334
charm,She had a good-luck charm.<p>,charm,True,M2_a_M2_b,Polysemy,6.890815924125,1.0
charm,She had a natural charm.<p>,charm,False,M2_a_M1_b,Polysemy,6.9138115888,1.0
charm,She had a natural charm.<p>,charm,False,M2_b_M1_b,Polysemy,6.640353928,1.0
charm,She had a natural charm.<p>,charm,True,M1_a_M1_b,Polysemy,6.604602339428571,1.0
check,He checked the alibi.<p>,checked,False,M1_a_M2_a,Polysemy,7.003276907333333,0.6666666666666666
check,He checked the alibi.<p>,checked,False,M1_b_M2_a,Polysemy,7.0953573287500005,0.5
check,He checked the alibi.<p>,checked,True,M2_b_M2_a,Polysemy,7.062037250583334,0.8333333333333334
check,He checked the engine.<p>,checked,False,M2_a_M1_a,Polysemy,6.7362012473999995,1.0
check,He checked the engine.<p>,checked,False,M2_b_M1_a,Polysemy,6.788791431199999,1.0
check,He checked the engine.<p>,checked,True,M1_b_M1_a,Polysemy,6.710050522111111,1.0
check,He checked the facts.<p>,checked,False,M1_a_M2_b,Polysemy,6.691488436999999,1.0
check,He checked the facts.<p>,checked,False,M1_b_M2_b,Polysemy,6.633089537333333,1.0
check,He checked the facts.<p>,checked,True,M2_a_M2_b,Polysemy,6.655381975199999,1.0
check,He checked the oven.<p>,checked,False,M2_a_M1_b,Polysemy,7.014635855125,1.0
check,He checked the oven.<p>,checked,False,M2_b_M1_b,Polysemy,6.826484046111111,1.0
check,He checked the oven.<p>,checked,True,M1_a_M1_b,Polysemy,6.7785684355,1.0
chicken,They liked the clucking chicken.<p>,chicken,False,M1_a_M2_a,Polysemy,7.089929724461539,0.5384615384615384
chicken,They liked the clucking chicken.<p>,chicken,False,M1_b_M2_a,Polysemy,7.103134864199999,0.2
chicken,They liked the clucking chicken.<p>,chicken,True,M2_b_M2_a,Polysemy,7.095518062875,0.875
chicken,They liked the juicy chicken.<p>,chicken,False,M2_a_M1_a,Polysemy,7.40506932275,1.0
chicken,They liked the juicy chicken.<p>,chicken,False,M2_b_M1_a,Polysemy,7.153083123166667,1.0
chicken,They liked the juicy chicken.<p>,chicken,True,M1_b_M1_a,Polysemy,6.896084532875,1.0
chicken,They liked the pet chicken.<p>,chicken,False,M1_a_M2_b,Polysemy,7.0439247755,1.0
chicken,They liked the pet chicken.<p>,chicken,False,M1_b_M2_b,Polysemy,7.1518733231428575,0.8571428571428571
chicken,They liked the pet chicken.<p>,chicken,True,M2_a_M2_b,Polysemy,7.012387243999999,1.0
chicken,They liked the roasted chicken.<p>,chicken,False,M2_a_M1_b,Polysemy,6.8782500917142855,1.0
chicken,They liked the roasted chicken.<p>,chicken,False,M2_b_M1_b,Polysemy,7.185975437428572,1.0
chicken,They liked the roasted chicken.<p>,chicken,True,M1_a_M1_b,Polysemy,6.8564627684,1.0
class,It was a boring class.<p>,class,False,M1_a_M2_a,Polysemy,6.816690114111111,1.0
class,It was a boring class.<p>,class,False,M1_b_M2_a,Polysemy,6.840205392571428,1.0
class,It was a boring class.<p>,class,True,M2_b_M2_a,Polysemy,6.8849329292,1.0
class,It was a misbehaving class.<p>,class,False,M2_a_M1_b,Polysemy,7.013140838125,0.625
class,It was a misbehaving class.<p>,class,False,M2_b_M1_b,Polysemy,7.059681097,1.0
