word,same,ambiguity_type,string,version,Class,order,version_with_order,prime,target,context,sentence1,sentence2,disambiguating_word1,disambiguating_word2,target_surprisal_sum,target_surprisal_mean,final_token_surprisal,n_target_tokens,model,checkpoint,n_params
barrier,False,Polysemy,barrier,M1_b_M2_b,N,s1_prime,M1_b_M2_b,There was a concrete barrier.,There was a religious barrier.,There was a concrete barrier. There was a religious barrier.,There was a concrete barrier.,There was a religious barrier.,concrete,religious,15.905125468969345,3.181025093793869,1.526721715927124,5,EleutherAI/pythia-160m,32000,162322944
barrier,True,Polysemy,barrier,M1_a_M1_b,N,s1_prime,M1_a_M1_b,There was a police barrier.,There was a concrete barrier.,There was a police barrier. There was a concrete barrier.,There was a police barrier.,There was a concrete barrier.,police,concrete,12.567073047161102,2.5134146094322203,2.4087624549865723,5,EleutherAI/pythia-160m,32000,162322944
barrier,True,Polysemy,barrier,M2_a_M2_b,N,s1_prime,M2_a_M2_b,There was a language barrier.,There was a religious barrier.,There was a language barrier. There was a religious barrier.,There was a language barrier.,There was a religious barrier.,language,religious,12.359351098537445,2.471870219707489,1.1712853908538818,5,EleutherAI/pythia-160m,32000,162322944
bat,False,Homonymy,bat,M1_a_M2_a,N,s1_prime,M1_a_M2_a,He saw a furry bat.,He saw a wooden bat.,He saw a furry bat. He saw a wooden bat.,He saw a furry bat.,He saw a wooden bat.,furry,wooden,19.92847216129303,3.985694432258606,3.0833234786987305,5,EleutherAI/pythia-160m,32000,162322944
bat,False,Homonymy,bat,M1_a_M2_b,N,s1_prime,M1_a_M2_b,He saw a furry bat.,He saw a baseball bat.,He saw a furry bat. He saw a baseball bat.,He saw a furry bat.,He saw a baseball bat.,furry,baseball,15.88539770245552,3.1770795404911043,2.2943320274353027,5,EleutherAI/pythia-160m,32000,162322944
bat,False,Homonymy,bat,M1_b_M2_a,N,s1_prime,M1_b_M2_a,He saw a fruit bat.,He saw a wooden bat.,He saw a fruit bat. He saw a wooden bat.,He saw a fruit bat.,He saw a wooden bat.,fruit,wooden,16.781154453754425,3.356230890750885,2.6208934783935547,5,EleutherAI/pythia-160m,32000,162322944
bat,False,Homonymy,bat,M1_b_M2_b,N,s1_prime,M1_b_M2_b,He saw a fruit bat.,He saw a baseball bat.,He saw a fruit bat. He saw a baseball bat.,He saw a fruit bat.,He saw a baseball bat.,fruit,baseball,12.062824301421642,2.4125648602843284,1.9023160934448242,5,EleutherAI/pythia-160m,32000,162322944
bat,True,Homonymy,bat,M1_a_M1_b,N,s1_prime,M1_a_M1_b,He saw a furry bat.,He saw a fruit bat.,He saw a furry bat. He saw a fruit bat.,He saw a furry bat.,He saw a fruit bat.,furry,fruit,19.012914776802063,3.8025829553604127,2.09175181388855,5,EleutherAI/pythia-160m,32000,162322944
bat,True,Homonymy,bat,M2_a_M2_b,N,s1_prime,M2_a_M2_b,He saw a wooden bat.,He saw a baseball bat.,He saw a wooden bat. He saw a baseball bat.,He saw a wooden bat.,He saw a baseball bat.,wooden,baseball,12.709426015615463,2.5418852031230927,2.065723180770874,5,EleutherAI/pythia-160m,32000,162322944
beam,False,Polysemy,beam,M1_a_M2_a,N,s1_prime,M1_a_M2_a,He saw the laser beam.,He saw the wood beam.,He saw the laser beam. He saw the wood beam.,He saw the laser beam.,He saw the wood beam.,laser,wood,21.598076820373535,4.319615364074707,3.252606153488159,5,EleutherAI/pythia-160m,32000,162322944
beam,False,Polysemy,beam,M1_a_M2_b,N,s1_prime,M1_a_M2_b,He saw the laser beam.,He saw the balance beam.,He saw the laser beam. He saw the balance beam.,He saw the laser beam.,He saw the balance beam.,laser,balance,21.488061904907227,4.2976123809814455,2.9059665203094482,5,EleutherAI/pythia-160m,32000,162322944
beam,False,Polysemy,beam,M1_b_M2_a,N,s1_prime,M1_b_M2_a,He saw the bright beam.,He saw the wood beam.,He saw the bright beam. He saw the wood beam.,He saw the bright beam.,He saw the wood beam.,bright,wood,20.802967309951782,4.160593461990357,3.149113655090332,5,EleutherAI/pythia-160m,32000,162322944
beam,False,Polysemy,beam,M1_b_M2_b,N,s1_prime,M1_b_M2_b,He saw the bright beam.,He saw the balance beam.,He saw the bright beam. He saw the balance beam.,He saw the bright beam.,He saw the balance beam.,bright,balance,22.291300535202026,4.458260107040405,2.636706829071045,5,EleutherAI/pythia-160m,32000,162322944
beam,True,Polysemy,beam,M1_a_M1_b,N,s1_prime,M1_a_M1_b,He saw the laser beam.,He saw the bright beam.,He saw the laser beam. He saw the bright beam.,He saw the laser beam.,He saw the bright beam.,laser,bright,15.175163269042969,3.0350326538085937,3.0774898529052734,5,EleutherAI/pythia-160m,32000,162322944
beam,True,Polysemy,beam,M2_a_M2_b,N,s1_prime,M2_a_M2_b,He saw the wood beam.,He saw the balance beam.,He saw the wood beam. He saw the balance beam.,He saw the wood beam.,He saw the balance beam.,wood,balance,21.06758737564087,4.213517475128174,2.636108875274658,5,EleutherAI/pythia-160m,32000,162322944
block,False,Polysemy,block,M1_a_M2_a,N,s1_prime,M1_a_M2_a,She had a toy block.,She had a mental block.,She had a toy block. She had a mental block.,She had a toy block.,She had a mental block.,toy,mental,15.295979022979736,3.059195804595947,1.6107110977172852,5,EleutherAI/pythia-160m,32000,162322944
block,False,Polysemy,block,M1_a_M2_b,N,s1_prime,M1_a_M2_b,She had a toy block.,She had a writer's block.,She had a toy block. She had a writer's block.,She had a toy block.,She had a writer's block.,toy,writer,17.112528860569,2.852088143428167,1.5119248628616333,6,EleutherAI/pythia-160m,32000,162322944
block,False,Polysemy,block,M1_b_M2_a,N,s1_prime,M1_b_M2_a,She had a wooden block.,She had a mental block.,She had a wooden block. She had a mental block.,She had a wooden block.,She had a mental block.,wooden,mental,16.753855228424072,3.3507710456848145,1.6374362707138062,5,EleutherAI/pythia-160m,32000,162322944
block,False,Polysemy,block,M1_b_M2_b,N,s1_prime,M1_b_M2_b,She had a wooden block.,She had a writer's block.,She had a wooden block. She had a writer's block.,She had a wooden block.,She had a writer's block.,wooden,writer,17.4599017649889,2.90998362749815,1.9778060913085938,6,EleutherAI/pythia-160m,32000,162322944
block,True,Polysemy,block,M1_a_M1_b,N,s1_prime,M1_a_M1_b,She had a toy block.,She had a wooden block.,She had a toy block. She had a wooden block.,She had a toy block.,She had a wooden block.,toy,wooden,15.208075046539307,3.0416150093078613,3.202277660369873,5,EleutherAI/pythia-160m,32000,162322944
block,True,Polysemy,block,M2_a_M2_b,N,s1_prime,M2_a_M2_b,She had a mental block.,She had a writer's block.,She had a mental block. She had a writer's block.,She had a mental block.,She had a writer's block.,mental,writer,14.096702526323497,2.349450421053916,1.1764923334121704,6,EleutherAI/pythia-160m,32000,162322944
blood,False,Polysemy,blood,M1_a_M2_a,N,s1_prime,M1_a_M2_a,He has coagulated blood.,He has noble blood.,He has coagulated blood. He has noble blood.,He has coagulated blood.,He has noble blood.,coagulated,noble,17.14362198114395,4.285905495285988,2.082496166229248,4,EleutherAI/pythia-160m,32000,162322944
blood,False,Polysemy,blood,M1_a_M2_b,N,s1_prime,M1_a_M2_b,He has coagulated blood.,He has royal blood.,He has coagulated blood. He has royal blood.,He has coagulated blood.,He has royal blood.,coagulated,royal,16.86175012588501,4.215437531471252,1.9256532192230225,4,EleutherAI/pythia-160m,32000,162322944
blood,False,Polysemy,blood,M1_b_M2_a,N,s1_prime,M1_b_M2_a,He has thin blood.,He has noble blood.,He has thin blood. He has noble blood.,He has thin blood.,He has noble blood.,thin,noble,14.642818033695221,3.6607045084238052,1.645334243774414,4,EleutherAI/pythia-160m,32000,162322944
blood,False,Polysemy,blood,M1_b_M2_b,N,s1_prime,M1_b_M2_b,He has thin blood.,He has royal blood.,He has thin blood. He has royal blood.,He has thin blood.,He has royal blood.,thin,royal,15.879706352949142,3.9699265882372856,1.5742541551589966,4,EleutherAI/pythia-160m,32000,162322944
blood,True,Polysemy,blood,M1_a_M1_b,N,s1_prime,M1_a_M1_b,He has coagulated blood.,He has thin blood.,He has coagulated blood. He has thin blood.,He has coagulated blood.,He has thin blood.,coagulated,thin,18.079006671905518,4.519751667976379,2.762026309967041,4,EleutherAI/pythia-160m,32000,162322944
blood,True,Polysemy,blood,M2_a_M2_b,N,s1_prime,M2_a_M2_b,He has noble blood.,He has royal blood.,He has noble blood. He has royal blood.,He has noble blood.,He has royal blood.,noble,royal,12.062282711267471,3.015570677816868,1.4312812089920044,4,EleutherAI/pythia-160m,32000,162322944
board,False,Polysemy,board,M1_a_M2_a,N,s1_prime,M1_a_M2_a,It was the ironing board.,It was the executive board.,It was the ironing board. It was the executive board.,It was the ironing board.,It was the executive board.,ironing,executive,16.608901381492615,3.321780276298523,2.265735149383545,5,EleutherAI/pythia-160m,32000,162322944
board,False,Polysemy,board,M1_a_M2_b,N,s1_prime,M1_a_M2_b,It was the ironing board.,It was the school board.,It was the ironing board. It was the school board.,It was the ironing board.,It was the school board.,ironing,school,14.46425712108612,2.8928514242172243,1.847948670387268,5,EleutherAI/pythia-160m,32000,162322944
board,False,Polysemy,board,M1_b_M2_a,N,s1_prime,M1_b_M2_a,It was the wooden board.,It was the executive board.,It was the wooden board. It was the executive board.,It was the wooden board.,It was the executive board.,wooden,executive,18.297054886817932,3.6594109773635863,2.409457206726074,5,EleutherAI/pythia-160m,32000,162322944
board,False,Polysemy,board,M1_b_M2_b,N,s1_prime,M1_b_M2_b,It was the wooden board.,It was the school board.,It was the wooden board. It was the school board.,It was the wooden board.,It was the school board.,wooden,school,14.24618685245514,2.8492373704910277,1.7684677839279175,5,EleutherAI/pythia-160m,32000,162322944
board,True,Polysemy,board,M1_a_M1_b,N,s1_prime,M1_a_M1_b,It was the ironing board.,It was the wooden board.,It was the ironing board. It was the wooden board.,It was the ironing board.,It was the wooden board.,ironing,wooden,15.308569192886353,3.0617138385772704,2.831686019897461,5,EleutherAI/pythia-160m,32000,162322944
board,True,Polysemy,board,M2_a_M2_b,N,s1_prime,M2_a_M2_b,It was the executive board.,It was the school board.,It was the executive board. It was the school board.,It was the executive board.,It was the school board.,executive,school,12.063461065292358,2.4126922130584716,1.6320637464523315,5,EleutherAI/pythia-160m,32000,162322944
book,False,Polysemy,book,M1_a_M2_a,N,s1_prime,M1_a_M2_a,He had a best-selling book.,He had a heavy book.,He had a best-selling book. He had a heavy book.,He had a best-selling book.,He had a heavy book.,best-selling,heavy,20.85704505443573,4.171409010887146,4.768290996551514,5,EleutherAI/pythia-160m,32000,162322944
book,False,Polysemy,book,M1_a_M2_b,N,s1_prime,M1_a_M2_b,He had a best-selling book.,He had a leather-bound book.,He had a best-selling book. He had a leather-bound book.,He had a best-selling book.,He had a leather-bound book.,best-selling,leather-bound,21.624791860580444,3.0892559800829207,3.7893450260162354,7,EleutherAI/pythia-160m,32000,162322944
book,False,Polysemy,book,M1_b_M2_a,N,s1_prime,M1_b_M2_a,He had a popular book.,He had a heavy book.,He had a popular book. He had a heavy book.,He had a popular book.,He had a heavy book.,popular,heavy,19.734490275382996,3.9468980550765993,4.818934440612793,5,EleutherAI/pythia-160m,32000,162322944
book,False,Polysemy,book,M1_b_M2_b,N,s1_prime,M1_b_M2_b,He had a popular book.,He had a leather-bound book.,He had a popular book. He had a leather-bound book.,He had a popular book.,He had a leather-bound book.,popular,leather-bound,19.742125630378723,2.820303661482675,3.7846827507019043,7,EleutherAI/pythia-160m,32000,162322944
book,True,Polysemy,book,M1_a_M1_b,N,s1_prime,M1_a_M1_b,He had a best-selling book.,He had a popular book.,He had a best-selling book. He had a popular book.,He had a best-selling book.,He had a popular book.,best-selling,popular,17.640775084495544,3.5281550168991087,4.900850296020508,5,EleutherAI/pythia-160m,32000,162322944
book,True,Polysemy,book,M2_a_M2_b,N,s1_prime,M2_a_M2_b,He had a heavy book.,He had a leather-bound book.,He had a heavy book. He had a leather-bound book.,He had a heavy book.,He had a leather-bound book.,heavy,leather-bound,16.87772572040558,2.411103674343654,3.076106309890747,7,EleutherAI/pythia-160m,32000,162322944
break,False,Polysemy,broke,M1_a_M2_a,V,s1_prime,M1_a_M2_a,He broke the glass.,He broke the law.,He broke the glass. He broke the law.,He broke the glass.,He broke the law.,glass,law,14.489298701286316,3.622324675321579,1.5675290822982788,4,EleutherAI/pythia-160m,32000,162322944
break,False,Polysemy,broke,M1_a_M2_b,V,s1_prime,M1_a_M2_b,He broke the glass.,He broke the promise.,He broke the glass. He broke the promise.,He broke the glass.,He broke the promise.,glass,promise,17.1143856048584,4.2785964012146,2.444977283477783,4,EleutherAI/pythia-160m,32000,162322944
break,False,Polysemy,broke,M1_b_M2_a,V,s1_prime,M1_b_M2_a,He broke the dish.,He broke the law.,He broke the dish. He broke the law.,He broke the dish.,He broke the law.,dish,law,14.257547736167908,3.564386934041977,1.9120190143585205,4,EleutherAI/pythia-160m,32000,162322944
break,False,Polysemy,broke,M1_b_M2_b,V,s1_prime,M1_b_M2_b,He broke the dish.,He broke the promise.,He broke the dish. He broke the promise.,He broke the dish.,He broke the promise.,dish,promise,16.766881108283997,4.191720277070999,2.5886192321777344,4,EleutherAI/pythia-160m,32000,162322944
break,True,Polysemy,broke,M1_a_M1_b,V,s1_prime,M1_a_M1_b,He broke the glass.,He broke the dish.,He broke the glass. He broke the dish.,He broke the glass.,He broke the dish.,glass,dish,15.936181545257568,3.984045386314392,2.7007827758789062,4,EleutherAI/pythia-160m,32000,162322944
break,True,Polysemy,broke,M2_a_M2_b,V,s1_prime,M2_a_M2_b,He broke the law.,He broke the promise.,He broke the law. He broke the promise.,He broke the law.,He broke the promise.,law,promise,16.70493346452713,4.1762333661317825,2.816939115524292,4,EleutherAI/pythia-160m,32000,162322944
breakfast,False,Polysemy,breakfast,M1_a_M2_a,N,s1_prime,M1_a_M2_a,They ate a pancake breakfast.,They ate a family breakfast.,They ate a pancake breakfast. They ate a family breakfast.,They ate a pancake breakfast.,They ate a family breakfast.,pancake,family,18.536531448364258,3.7073062896728515,2.806468963623047,5,EleutherAI/pythia-160m,32000,162322944
breakfast,False,Polysemy,breakfast,M1_a_M2_b,N,s1_prime,M1_a_M2_b,They ate a pancake breakfast.,They ate a lonely breakfast.,They ate a pancake breakfast. They ate a lonely breakfast.,They ate a pancake breakfast.,They ate a lonely breakfast.,pancake,lonely,20.16134262084961,4.032268524169922,2.5567312240600586,5,EleutherAI/pythia-160m,32000,162322944
breakfast,False,Polysemy,breakfast,M1_b_M2_a,N,s1_prime,M1_b_M2_a,They ate a nutritious breakfast.,They ate a family breakfast.,They ate a nutritious breakfast. They ate a family breakfast.,They ate a nutritious breakfast.,They ate a family breakfast.,nutritious,family,19.29558789730072,3.859117579460144,2.805056095123291,5,EleutherAI/pythia-160m,32000,162322944
breakfast,False,Polysemy,breakfast,M1_b_M2_b,N,s1_prime,M1_b_M2_b,They ate a nutritious breakfast.,They ate a lonely breakfast.,They ate a nutritious breakfast. They ate a lonely breakfast.,They ate a nutritious breakfast.,They ate a lonely breakfast.,nutritious,lonely,19.64363157749176,3.928726315498352,2.47222900390625,5,EleutherAI/pythia-160m,32000,162322944
breakfast,True,Polysemy,breakfast,M1_a_M1_b,N,s1_prime,M1_a_M1_b,They ate a pancake breakfast.,They ate a nutritious breakfast.,They ate a pancake breakfast. They ate a nutritious breakfast.,They ate a pancake breakfast.,They ate a nutritious breakfast.,pancake,nutritious,15.852722452022135,2.264674636003162,2.4748592376708984,7,EleutherAI/pythia-160m,32000,162322944
